inst#,actual,predicted,error
1,4.3,5.838,1.538
2,5.36,7.332,1.972
3,6.92,5.959,-0.961
4,8.02,6.405,-1.615
5,10.64,8.917,-1.723
6,5.96,6.406,0.446
7,3.28,5.733,2.453
8,10,7.377,-2.623
9,7.38,7.394,0.014
10,7.64,7.291,-0.349
11,5.29,5.118,-0.172
12,7.57,6.584,-0.986
13,3.3,4.605,1.305
14,9.89,7.033,-2.857
15,9.7,7.096,-2.604
16,7,6.686,-0.314
17,5.18,5.038,-0.142
18,7.61,6.964,-0.646
19,6.52,6.926,0.406
20,5.37,6.581,1.211
21,8.35,8.346,-0.004
22,10.52,8.449,-2.071
23,10,6.928,-3.072
24,8.96,6.419,-2.541
25,6,6.88,0.88
26,8.7,6.468,-2.232
27,3.52,4.918,1.398
28,7.28,6.147,-1.133
29,3.18,5.259,2.079
30,6.39,5.355,-1.035
31,3.7,5.229,1.529
32,5.32,5.226,-0.094
33,11.15,7.83,-3.32
34,4.08,5.484,1.404
35,6.12,6.402,0.282
36,8.25,8.056,-0.194
37,2.39,5.648,3.258
38,5.15,4.612,-0.538
39,7.96,6.521,-1.439
40,5.77,6.005,0.235
41,6.03,7.671,1.641
42,4.89,6.369,1.479
43,5.15,5.397,0.247
44,6.27,5.704,-0.566
45,2.28,5.454,3.174
46,4.76,6.331,1.571
47,2.35,4.677,2.327
48,6.46,6.188,-0.272
49,9.52,7.509,-2.011
50,11.85,8.378,-3.472
51,9.21,7.109,-2.101
52,4.77,5.845,1.075
53,4.35,4.614,0.264
54,6.92,7.511,0.591
55,5.4,4.692,-0.708
56,7.74,6.549,-1.191
57,7.8,6.253,-1.547
58,2.27,3.427,1.157
59,7.8,5.711,-2.089
60,4.72,5.654,0.934
61,4.3,5.008,0.708
62,6.28,5.265,-1.015
63,11.06,9.043,-2.017
64,6,5.26,-0.74
65,7.32,7.091,-0.229
66,3.08,5.717,2.637
67,11.7,8.172,-3.528
68,6.17,6.361,0.191
69,4.3,7.887,3.587
70,5.22,6.67,1.45
71,7.68,5.588,-2.092
72,5.74,6.472,0.732
73,5.62,5.299,-0.321
74,4.86,6.231,1.371
75,8.02,7.346,-0.674
76,7.28,7.184,-0.096
77,6.92,6.565,-0.355
78,4.11,5.36,1.25
79,2.7,5.818,3.118
80,8.49,6.18,-2.31
81,9.52,7.841,-1.679
82,6.4,5.164,-1.236
83,4.94,5.472,0.532
84,5.7,6.262,0.562
85,6.16,6.622,0.462
86,11.72,10.528,-1.192
87,4.89,6.029,1.139
88,6.42,5.56,-0.86
89,8.7,6.884,-1.816
90,3.83,5.567,1.737
91,10.3,7.634,-2.666
92,9,7.447,-1.553
93,5.74,6.786,1.046
94,7.2,7.633,0.433
95,8.11,6.662,-1.448
96,4.43,5.361,0.931
97,8.4,6.466,-1.934
98,7.96,7.901,-0.059
99,5.26,4.379,-0.881
100,4.21,5.722,1.512
101,2.74,5.308,2.568
102,4.85,5.217,0.367
103,7.48,5.977,-1.503
104,3.72,5.438,1.718
105,6.82,5.451,-1.369
106,3.9,5.998,2.098
107,3.66,5.86,2.2
108,3.77,4.003,0.233
109,7.3,6.05,-1.25
110,4.05,5.69,1.64
111,5.6,6.597,0.997
112,3.96,6.606,2.646
113,8.52,6.158,-2.362
114,11.33,7.22,-4.11
115,6.74,7.353,0.613
116,4.03,7.861,3.831
117,8.43,8.062,-0.368
118,3.1,6.189,3.089
119,10.7,9.237,-1.463
120,8.87,7.246,-1.624
121,9.96,7.403,-2.557
122,5.79,7.623,1.833
123,7.37,6.501,-0.869
124,4.64,5.319,0.679
125,9.46,7.321,-2.139
126,6.62,7.14,0.52
127,8.82,6.627,-2.193
128,6.87,6.821,-0.049
129,7.7,6.016,-1.684
130,7.79,5.676,-2.114
131,10.6,8.382,-2.218
132,5.22,5.715,0.495
133,4.76,6.765,2.005
134,3.03,5.45,2.42
135,2.55,4.506,1.956
136,8,6.805,-1.195
137,6.27,6.217,-0.053
138,2.7,3.639,0.939
139,4.19,5.065,0.875
140,4.85,5.534,0.684
141,6.35,7.909,1.559
142,6.9,6.35,-0.55
143,8,8.342,0.342
144,4.89,5.643,0.753
145,2.4,4.257,1.857
146,9.74,7.854,-1.886
147,8.85,7.615,-1.235
148,5.85,6.281,0.431
149,8.57,7.947,-0.623
150,8.63,7.569,-1.061
151,4.19,5.402,1.212
152,6.02,6.095,0.075
153,7.7,6.902,-0.798
154,4.22,5.481,1.261
155,2.77,5.282,2.512
156,2.62,4.477,1.857
157,9.3,8.016,-1.284
158,9.52,7.261,-2.259
159,6.9,7.026,0.126
160,8.7,7.557,-1.143
161,9.1,7.933,-1.167
162,2.12,4.576,2.456
163,5.1,4.612,-0.488
164,4.53,5.69,1.16
165,4.47,7.18,2.71
166,6.68,5.704,-0.976
167,2.96,4.73,1.77
168,4.54,6.664,2.124
169,3.93,5.582,1.652
170,6.54,6.266,-0.274
171,2.3,4.656,2.356
172,6.14,6.818,0.678
173,7.32,5.399,-1.921
174,7.52,5.776,-1.744
175,6,5.584,-0.416
176,4.33,6.898,2.568
177,2.18,7.082,4.902
178,2.82,6.563,3.743
179,2.52,5.192,2.672
180,2.3,4.778,2.478
181,7.31,6.648,-0.662
182,3.7,4.831,1.131
183,5.64,6.459,0.819
184,6,6.188,0.188
185,9,7.9,-1.1
186,6.88,6.835,-0.045
187,5.2,5.946,0.746
188,4.13,6.984,2.854
189,2,3.885,1.885
190,7.22,5.307,-1.913
191,3.66,3.994,0.334
192,9.76,7.454,-2.306
193,9.85,7.152,-2.698
194,6.85,6.24,-0.61
195,7.64,7.118,-0.522
196,5.61,6.214,0.604
197,9.3,7.401,-1.899
198,2.16,3.735,1.575
199,10.17,7.51,-2.66
200,6.57,7.333,0.763
201,11.52,7.794,-3.726

