inst#,actual,predicted,error
1,4.3,5.077,0.777
2,5.36,7.121,1.761
3,6.92,6.356,-0.564
4,8.02,6.419,-1.601
5,10.64,9.886,-0.754
6,5.96,6.423,0.463
7,3.28,5.002,1.722
8,10,7.948,-2.052
9,7.38,7.948,0.568
10,7.64,7.357,-0.283
11,5.29,4.838,-0.452
12,7.57,7.458,-0.112
13,3.3,3.829,0.529
14,9.89,7.95,-1.94
15,9.7,8.415,-1.285
16,7,7.111,0.111
17,5.18,5.01,-0.17
18,7.61,7.117,-0.493
19,6.52,6.764,0.244
20,5.37,6.48,1.11
21,8.35,8.622,0.272
22,10.52,8.254,-2.266
23,10,6.717,-3.283
24,8.96,7.303,-1.657
25,6,5.923,-0.077
26,8.7,5.26,-3.44
27,3.52,5.833,2.313
28,7.28,5.911,-1.369
29,3.18,4.59,1.41
30,6.39,5.345,-1.045
31,3.7,5.184,1.484
32,5.32,5.357,0.037
33,11.15,8.022,-3.128
34,4.08,5.528,1.448
35,6.12,5.937,-0.183
36,8.25,8.171,-0.079
37,2.39,5.601,3.211
38,5.15,4.963,-0.187
39,7.96,6.662,-1.298
40,5.77,6.148,0.378
41,6.03,8.093,2.063
42,4.89,6.716,1.826
43,5.15,6.053,0.903
44,6.27,5.514,-0.756
45,2.28,4.901,2.621
46,4.76,4.869,0.109
47,2.35,4.308,1.958
48,6.46,6.323,-0.137
49,9.52,7.348,-2.172
50,11.85,8.522,-3.328
51,9.21,7.226,-1.984
52,4.77,6.294,1.524
53,4.35,4.734,0.384
54,6.92,8.115,1.195
55,5.4,4.838,-0.562
56,7.74,5.865,-1.875
57,7.8,6.372,-1.428
58,2.27,3.049,0.779
59,7.8,5.887,-1.913
60,4.72,6.371,1.651
61,4.3,4.452,0.152
62,6.28,5.329,-0.951
63,11.06,10.374,-0.686
64,6,5.364,-0.636
65,7.32,7.032,-0.288
66,3.08,6.144,3.064
67,11.7,8.74,-2.96
68,6.17,6.256,0.086
69,4.3,8.9,4.6
70,5.22,6.557,1.337
71,7.68,5.956,-1.724
72,5.74,6.587,0.847
73,5.62,6.773,1.153
74,4.86,5.744,0.884
75,8.02,8.713,0.693
76,7.28,6.649,-0.631
77,6.92,6.788,-0.132
78,4.11,5.438,1.328
79,2.7,5.474,2.774
80,8.49,5.796,-2.694
81,9.52,7.498,-2.022
82,6.4,3.956,-2.444
83,4.94,4.457,-0.483
84,5.7,6.525,0.825
85,6.16,6.866,0.706
86,11.72,10.799,-0.921
87,4.89,6.533,1.643
88,6.42,5.319,-1.101
89,8.7,7.598,-1.102
90,3.83,5.682,1.852
91,10.3,7.94,-2.36
92,9,8.05,-0.95
93,5.74,6.786,1.046
94,7.2,7.207,0.007
95,8.11,7.074,-1.036
96,4.43,4.795,0.365
97,8.4,6.744,-1.656
98,7.96,9.012,1.052
99,5.26,4.596,-0.664
100,4.21,5.689,1.479
101,2.74,4.953,2.213
102,4.85,5.458,0.608
103,7.48,6.54,-0.94
104,3.72,5.115,1.395
105,6.82,5.524,-1.296
106,3.9,6.285,2.385
107,3.66,5.138,1.478
108,3.77,4.082,0.312
109,7.3,5.741,-1.559
110,4.05,5.822,1.772
111,5.6,6.802,1.202
112,3.96,6.667,2.707
113,8.52,6.125,-2.395
114,11.33,7.871,-3.459
115,6.74,8.203,1.463
116,4.03,7.788,3.758
117,8.43,8.276,-0.154
118,3.1,6.211,3.111
119,10.7,9.918,-0.782
120,8.87,7.192,-1.678
121,9.96,8.031,-1.929
122,5.79,7.962,2.172
123,7.37,6.287,-1.083
124,4.64,4.327,-0.313
125,9.46,7.935,-1.525
126,6.62,6.969,0.349
127,8.82,7.061,-1.759
128,6.87,7.866,0.996
129,7.7,5.367,-2.333
130,7.79,5.22,-2.57
131,10.6,8.121,-2.479
132,5.22,5.425,0.205
133,4.76,7.006,2.246
134,3.03,4.632,1.602
135,2.55,4.323,1.773
136,8,7.021,-0.979
137,6.27,6.159,-0.111
138,2.7,3.235,0.535
139,4.19,4.711,0.521
140,4.85,5.666,0.816
141,6.35,7.851,1.501
142,6.9,6.264,-0.636
143,8,8.571,0.571
144,4.89,6.026,1.136
145,2.4,3.697,1.297
146,9.74,7.923,-1.817
147,8.85,7.903,-0.947
148,5.85,6.869,1.019
149,8.57,7.898,-0.672
150,8.63,7.982,-0.648
151,4.19,5.433,1.243
152,6.02,6.37,0.35
153,7.7,6.522,-1.178
154,4.22,5.238,1.018
155,2.77,5.513,2.743
156,2.62,4.603,1.983
157,9.3,7.469,-1.831
158,9.52,7.394,-2.126
159,6.9,7.066,0.166
160,8.7,7.717,-0.983
161,9.1,7.971,-1.129
162,2.12,4.317,2.197
163,5.1,4.446,-0.654
164,4.53,5.442,0.912
165,4.47,7.584,3.114
166,6.68,5.05,-1.63
167,2.96,4.772,1.812
168,4.54,6.564,2.024
169,3.93,5.539,1.609
170,6.54,6.088,-0.452
171,2.3,4.748,2.448
172,6.14,7.394,1.254
173,7.32,5.188,-2.132
174,7.52,4.815,-2.705
175,6,5.916,-0.084
176,4.33,7.475,3.145
177,2.18,7.794,5.614
178,2.82,6.713,3.893
179,2.52,4.178,1.658
180,2.3,4.762,2.462
181,7.31,7.101,-0.209
182,3.7,4.95,1.25
183,5.64,6.925,1.285
184,6,6.161,0.161
185,9,8.805,-0.195
186,6.88,6.745,-0.135
187,5.2,6.065,0.865
188,4.13,6.853,2.723
189,2,4.311,2.311
190,7.22,5.351,-1.869
191,3.66,5.351,1.691
192,9.76,7.684,-2.076
193,9.85,6.686,-3.164
194,6.85,6.288,-0.562
195,7.64,6.368,-1.272
196,5.61,5.947,0.337
197,9.3,7.816,-1.484
198,2.16,4.249,2.089
199,10.17,8.413,-1.757
200,6.57,8.01,1.44
201,11.52,8.365,-3.155
