inst#,actual,predicted,error
1,4.3,5.616,1.316
2,5.36,7.545,2.185
3,6.92,6.56,-0.361
4,8.02,6.286,-1.734
5,10.64,9.614,-1.026
6,5.96,6.504,0.544
7,3.28,5.327,2.047
8,10,8.067,-1.933
9,7.38,7.728,0.348
10,7.64,6.95,-0.69
11,5.29,5.055,-0.235
12,7.57,7.171,-0.399
13,3.3,3.599,0.299
14,9.89,7.236,-2.655
15,9.7,7.806,-1.894
16,7,6.68,-0.32
17,5.18,5.473,0.293
18,7.61,6.118,-1.492
19,6.52,7.484,0.964
20,5.37,6.342,0.972
21,8.35,8.924,0.574
22,10.52,9.166,-1.354
23,10,7.027,-2.973
24,8.96,7.045,-1.915
25,6,6.974,0.974
26,8.7,7.526,-1.174
27,3.52,4.475,0.955
28,7.28,5.985,-1.295
29,3.18,5.151,1.971
30,6.39,5.917,-0.473
31,3.7,5.02,1.32
32,5.32,5.441,0.121
33,11.15,7.642,-3.508
34,4.08,5.59,1.51
35,6.12,7.338,1.218
36,8.25,8.659,0.409
37,2.39,6.261,3.871
38,5.15,4.781,-0.369
39,7.96,6.943,-1.017
40,5.77,6.414,0.644
41,6.03,7.475,1.445
42,4.89,6.711,1.821
43,5.15,5.812,0.662
44,6.27,4.97,-1.3
45,2.28,6.855,4.575
46,4.76,6.079,1.319
47,2.35,4.451,2.101
48,6.46,6.891,0.431
49,9.52,7.047,-2.473
50,11.85,8.726,-3.124
51,9.21,7.207,-2.003
52,4.77,4.968,0.198
53,4.35,4.295,-0.055
54,6.92,7.098,0.178
55,5.4,4.292,-1.108
56,7.74,6.693,-1.047
57,7.8,6.362,-1.438
58,2.27,3.081,0.811
59,7.8,5.212,-2.588
60,4.72,5.876,1.156
61,4.3,5.96,1.66
62,6.28,5.92,-0.36
63,11.06,11.057,-0.003
64,6,5.447,-0.553
65,7.32,7.214,-0.106
66,3.08,6.223,3.143
67,11.7,8.614,-3.086
68,6.17,5.826,-0.344
69,4.3,7.841,3.541
70,5.22,6.535,1.315
71,7.68,6.159,-1.521
72,5.74,6.349,0.609
73,5.62,6.065,0.445
74,4.86,5.615,0.754
75,8.02,8.323,0.303
76,7.28,6.947,-0.333
77,6.92,6.803,-0.117
78,4.11,4.733,0.623
79,2.7,5.291,2.591
80,8.49,5.605,-2.885
81,9.52,7.112,-2.408
82,6.4,4.849,-1.551
83,4.94,5.51,0.57
84,5.7,6.264,0.564
85,6.16,6.098,-0.062
86,11.72,10.733,-0.987
87,4.89,5.684,0.794
88,6.42,5.899,-0.521
89,8.7,7.901,-0.799
90,3.83,6.185,2.355
91,10.3,7.633,-2.667
92,9,8.532,-0.468
93,5.74,6.789,1.049
94,7.2,7.687,0.487
95,8.11,5.546,-2.564
96,4.43,5.074,0.644
97,8.4,6.41,-1.99
98,7.96,8.344,0.384
99,5.26,4.131,-1.129
100,4.21,5.226,1.016
101,2.74,5.462,2.722
102,4.85,5.307,0.457
103,7.48,7.326,-0.154
104,3.72,5.792,2.072
105,6.82,6.099,-0.721
106,3.9,6.179,2.279
107,3.66,5.764,2.104
108,3.77,4.228,0.458
109,7.3,6.015,-1.285
110,4.05,6.457,2.407
111,5.6,5.825,0.225
112,3.96,6.35,2.39
113,8.52,5.273,-3.247
114,11.33,7.555,-3.776
115,6.74,8.539,1.799
116,4.03,8.687,4.657
117,8.43,8.153,-0.277
118,3.1,5.704,2.604
119,10.7,9.657,-1.043
120,8.87,6.248,-2.622
121,9.96,7.09,-2.87
122,5.79,7.2,1.41
123,7.37,6.697,-0.673
124,4.64,4.745,0.105
125,9.46,7.083,-2.377
126,6.62,6.54,-0.08
127,8.82,6.944,-1.876
128,6.87,7.107,0.237
129,7.7,6.017,-1.683
130,7.79,5.41,-2.38
131,10.6,9.372,-1.228
132,5.22,5.993,0.773
133,4.76,6.412,1.652
134,3.03,5.586,2.556
135,2.55,4.348,1.798
136,8,6.046,-1.954
137,6.27,6.68,0.41
138,2.7,3.588,0.888
139,4.19,5.356,1.166
140,4.85,5.033,0.183
141,6.35,7.789,1.439
142,6.9,6.599,-0.301
143,8,8.182,0.182
144,4.89,5.699,0.809
145,2.4,3.887,1.487
146,9.74,8.021,-1.72
147,8.85,7.943,-0.907
148,5.85,5.11,-0.74
149,8.57,8.365,-0.205
150,8.63,7.128,-1.503
151,4.19,4.85,0.66
152,6.02,6.167,0.147
153,7.7,6.994,-0.706
154,4.22,5.171,0.951
155,2.77,4.924,2.153
156,2.62,4.106,1.486
157,9.3,8.746,-0.554
158,9.52,7.055,-2.465
159,6.9,7.109,0.209
160,8.7,8.105,-0.595
161,9.1,7.826,-1.274
162,2.12,4.547,2.427
163,5.1,4.17,-0.93
164,4.53,4.654,0.124
165,4.47,7.134,2.664
166,6.68,6.308,-0.372
167,2.96,3.943,0.983
168,4.54,7.42,2.88
169,3.93,4.63,0.7
170,6.54,6.733,0.193
171,2.3,5.252,2.952
172,6.14,7.349,1.209
173,7.32,5.367,-1.953
174,7.52,6.215,-1.305
175,6,6.408,0.408
176,4.33,7.268,2.938
177,2.18,7.402,5.222
178,2.82,5.445,2.625
179,2.52,4.735,2.215
180,2.3,3.916,1.616
181,7.31,7.569,0.259
182,3.7,4.649,0.949
183,5.64,6.547,0.907
184,6,6.548,0.548
185,9,8.416,-0.584
186,6.88,7.542,0.662
187,5.2,5.771,0.571
188,4.13,6.838,2.708
189,2,3.992,1.991
190,7.22,5.389,-1.831
191,3.66,3.218,-0.442
192,9.76,7.146,-2.614
193,9.85,7.136,-2.714
194,6.85,6.673,-0.177
195,7.64,7.677,0.037
196,5.61,6.684,1.074
197,9.3,6.861,-2.439
198,2.16,3.59,1.43
199,10.17,7.418,-2.752
200,6.57,7.248,0.677
201,11.52,7.913,-3.607
